Id,Type,Icon,Name,Note,X,Y,Latitude,Longitude
0,volcanoes,🌋,"Rusthorn","Dormant volcano. Height: 10289ft.",695.79,634.37,12.9,-86.74
1,volcanoes,🌋,"Mount Murkwhirl","Dormant volcano. Height: 10660ft.",1452.65,972.62,-28.21,5.24
2,volcanoes,🌋,"Soraralys Volcano","Dormant volcano. Height: 9925ft.",2247.7,1264.4,-63.67,101.87
3,volcanoes,🌋,"Scutaimpa","Dormant volcano. Height: 10289ft.",2589.02,770.6,-3.66,143.35
4,volcanoes,🌋,"Grumrok Volcano","Erupting volcano. Height: 9567ft.",1078.32,465.55,33.42,-40.25
5,hot-springs ghosts,♨️,"Hot Springs of Snapdream","A geothermal springs with naturally heated water that provide relaxation and medicinal benefits. Average temperature is 35°C.",1414.66,1241.13,-60.85,0.63
6,hot-springs ghosts,♨️,"Nocturninara Hot Springs","A geothermal springs with naturally heated water that provide relaxation and medicinal benefits. Average temperature is 24°C.",305.59,304.98,52.93,-134.16
7,hot-springs ghosts,♨️,"Vespeles","A geothermal springs with naturally heated water that provide relaxation and medicinal benefits. Average temperature is 49°C.",2062.76,1135.91,-48.06,79.39
8,hot-springs ghosts,♨️,"Calewhisper Hot Springs","A geothermal springs with naturally heated water that provide relaxation and medicinal benefits. Average temperature is 56°C.",1790.82,452.95,34.95,46.34
9,hot-springs ghosts,♨️,"Thundershout Hot Springs","A geothermal springs with naturally heated water that provide relaxation and medicinal benefits. Average temperature is 37°C.",712.43,308.98,52.45,-84.72
10,hot-springs ghosts,♨️,"Canower","A geothermal springs with naturally heated water that provide relaxation and medicinal benefits. Average temperature is 29°C.",1767.45,438.48,36.71,43.5
11,hot-springs ghosts,♨️,"Plumence Hot Springs","A geothermal springs with naturally heated water that provide relaxation and medicinal benefits. Average temperature is 51°C.",1511.02,809.01,-8.33,12.34
12,hot-springs ghosts,♨️,"Lula Hot Springs","A geothermal springs with naturally heated water that provide relaxation and medicinal benefits. Average temperature is 63°C.",1473.58,855,-13.92,7.79
13,hot-springs ghosts,♨️,"Bone Hot Springs","A geothermal springs with naturally heated water that provide relaxation and medicinal benefits. Average temperature is 24°C.",1667.5,1281,-65.69,31.36
14,hot-springs ghosts,♨️,"Hearth Hot Springs","A geothermal springs with naturally heated water that provide relaxation and medicinal benefits. Average temperature is 61°C.",1309.33,1029.35,-35.11,-12.17
15,whirlpool,💧,"Stonesher Purifying Well","This legendary water source is whispered about in ancient tales and believed to possess mystical properties. The spring emanates crystal-clear water, shimmering with an otherworldly iridescence that sparkles even in the dimmest light.",838.2,178.8,68.27,-69.43
16,whirlpool,💧,"Hearthamer Healing Stream","This legendary water source is whispered about in ancient tales and believed to possess mystical properties. The spring emanates crystal-clear water, shimmering with an otherworldly iridescence that sparkles even in the dimmest light.",852.5,1376.78,-77.33,-67.69
17,whirlpool,💧,"Crysting Spring of Youth","This legendary water source is whispered about in ancient tales and believed to possess mystical properties. The spring emanates crystal-clear water, shimmering with an otherworldly iridescence that sparkles even in the dimmest light.",1877.39,963.37,-27.09,56.86
18,whirlpool,💧,"Grumhogron Healing Spring","This legendary water source is whispered about in ancient tales and believed to possess mystical properties. The spring emanates crystal-clear water, shimmering with an otherworldly iridescence that sparkles even in the dimmest light.",2366.88,155.85,71.06,116.35
19,mines,⛏️,"Gejulipwhis — iron mining town","Gejulipwhis is a mining town of 22298 people just nearby the iron mine.",1604.37,1178.84,-53.28,23.68
20,mines,⛏️,"Nocturna — salt mining town","Nocturna is a mining town of 46850 people just nearby the salt mine.",131.43,1236.25,-60.25,-155.33
21,mines,⛏️,"Hosdurga — silver mining town","Hosdurga is a mining town of 33224 people just nearby the silver mine.",2116.23,1213.18,-57.45,85.89
22,mines,⛏️,"Rowershout — tin mining town","Rowershout is a mining town of 2828 people just nearby the tin mine.",1424,1186,-54.15,1.76
23,mines,⛏️,"Noctihisalys — copper mining town","Noctihisalys is a mining town of 3938 people just nearby the copper mine.",2271.12,1267.57,-64.06,104.71
24,mines,⛏️,"Heartfury — gold mining town","Heartfury is a mining town of 37527 people just nearby the gold mine.",1027.03,1416.71,-82.19,-46.48
25,mines,⛏️,"Epherieris — tin mining town","Epherieris is a mining town of 2896 people just nearby the tin mine.",2169.89,1186.64,-54.22,92.41
26,mines,⛏️,"Bafran — iron mining town","Bafran is a mining town of 7374 people just nearby the iron mine.",1255.21,1337.13,-72.51,-18.75
27,mines,⛏️,"Scutainta — salt mining town","Scutainta is a mining town of 3020 people just nearby the salt mine.",477.05,655.82,10.29,-113.32
28,mines,⛏️,"Foxglow — salt mining town","Foxglow is a mining town of 3470 people just nearby the salt mine.",1459.96,1217.29,-57.95,6.13
29,mines,⛏️,"Sola — salt mining town","Sola is a mining town of 27367 people just nearby the salt mine.",2104.17,1207.01,-56.7,84.42
30,mines,⛏️,"Heartglow — iron mining town","Heartglow is a mining town of 11788 people just nearby the iron mine.",930.93,1281.99,-65.81,-58.16
31,mines,⛏️,"Duskfang — salt mining town","Duskfang is a mining town of 2396 people just nearby the salt mine.",1499.12,653.05,10.63,10.89
32,mines,⛏️,"Lightclaw — salt mining town","Lightclaw is a mining town of 4069 people just nearby the salt mine.",686.56,783.5,-5.23,-87.86
33,mines,⛏️,"Yeki — iron mining town","Yeki is a mining town of 8636 people just nearby the iron mine.",2550.14,1377.46,-77.42,138.62
34,mines,⛏️,"Anmasterge — iron mining town","Anmasterge is a mining town of 53448 people just nearby the iron mine.",775.03,696.5,5.35,-77.11
35,mines,⛏️,"Heartswel — lead mining town","Heartswel is a mining town of 2390 people just nearby the lead mine.",1069.82,1384.12,-78.23,-41.28
36,mines,⛏️,"Blod — copper mining town","Blod is a mining town of 22767 people just nearby the copper mine.",1107.02,1142.79,-48.89,-36.76
37,mines,⛏️,"Frostningli — gold mining town","Frostningli is a mining town of 15541 people just nearby the gold mine.",2387.67,1321.41,-70.6,118.88
38,mines,⛏️,"Thua Ninh — salt mining town","Thua Ninh is a mining town of 8828 people just nearby the salt mine.",1419.68,1248.48,-61.74,1.24
39,mines,⛏️,"Gronkul — gold mining town","Gronkul is a mining town of 22993 people just nearby the gold mine.",1018.96,549.84,23.17,-47.46
40,mines,⛏️,"Cosmimenthus — tin mining town","Cosmimenthus is a mining town of 26250 people just nearby the tin mine.",1443,1243.4,-61.12,4.07
41,mines,⛏️,"Celes — lead mining town","Celes is a mining town of 2528 people just nearby the lead mine.",2209.6,1259.1,-63.03,97.24
42,mines,⛏️,"Shadowg — silver mining town","Shadowg is a mining town of 2435 people just nearby the silver mine.",754.52,894.26,-18.69,-79.6
43,mines,⛏️,"Scutaimu — copper mining town","Scutaimu is a mining town of 2793 people just nearby the copper mine.",475.94,564.64,21.37,-113.46
44,mines,⛏️,"Stonenoms — tin mining town","Stonenoms is a mining town of 14130 people just nearby the tin mine.",1582.7,1346.37,-73.64,21.05
45,mines,⛏️,"Heart — iron mining town","Heart is a mining town of 8575 people just nearby the iron mine.",601.41,1239.69,-60.67,-98.21
46,mines,⛏️,"Canopysunder — tin mining town","Canopysunder is a mining town of 2122 people just nearby the tin mine.",1752.51,366.4,45.47,41.69
47,mines,⛏️,"Vejury — salt mining town","Vejury is a mining town of 28108 people just nearby the salt mine.",1476.61,1231.9,-59.72,8.16
48,mines,⛏️,"Malaniumg — silver mining town","Malaniumg is a mining town of 10428 people just nearby the silver mine.",1573.2,1180.4,-53.47,19.89
49,mines,⛏️,"Cres — lead mining town","Cres is a mining town of 2737 people just nearby the lead mine.",1802.9,1005.35,-32.19,47.81
50,mines,⛏️,"Stone — lead mining town","Stone is a mining town of 2768 people just nearby the lead mine.",1099.34,1136.26,-48.1,-37.69
51,bridges,🌉,"Aethera Bridge","A stone bridge spans over the Solarararixa River near Aethera.",418.03,926.56,-22.61,-120.5
52,bridges,🌉,"Stormpest Bridge","A stone bridge spans over the Stormwing River near Stormpest.",2155.32,932.85,-23.38,90.64
53,bridges,🌉,"Chainveilmen Bridge","An old crossing of the Ansoulker Branch, rarely used since being rumoured to attract trolls.",2644.25,1029.48,-35.12,150.06
54,bridges,🌉,"Glintbirons Bridge","An old crossing of the Glintbirons River, rarely used since banditry infested the area.",1851.83,978.18,-28.89,53.76
55,bridges,🌉,"Auxona Bridge","A lengthy bridge spans over the Solarararixa River near Auxona.",415.67,910.42,-20.65,-120.78
56,bridges,🌉,"Lumina Bridge","An old crossing of the Glit River, rarely used since the drying up of local trade.",2080.82,999.26,-31.45,81.59
57,bridges,🌉,"Canopywodg Bridge","A rickety bridge spans over the Canopymistd River near Canopywodg.",1953.67,299.26,53.63,66.13
58,bridges,🌉,"Frostbine Bridge","An old crossing of the Shadowhis River, rarely used since the drying up of local trade.",907.72,227.6,62.34,-60.98
59,bridges,🌉,"Scutainfle Bridge","An old crossing of the Scutainsur River, rarely used since banditry infested the area.",2641.82,815.98,-9.17,149.77
60,bridges,🌉,"Grimtfury Bridge","A wooden bridge spans over the Dravebonrush River near Grimtfury.",1170.01,226.97,62.41,-29.11
61,bridges,🌉,"Whispilight Bridge","A stone bridge spans over the Glomertex River near Whispilight.",1212.24,1139.3,-48.47,-23.97
62,bridges,🌉,"Scutaimu Bridge","A lengthy bridge spans over the Scutaimpabi River near Scutaimu.",444.36,684.1,6.85,-117.3
63,bridges,🌉,"Shale Bridge","A stone bridge spans over the Shadowsper River near Shale.",682.03,324.07,50.61,-88.41
64,bridges,🌉,"Ring Bridge","A rickety bridge spans over the Ringrinheart River near Ring.",2631.38,926.34,-22.59,148.5
65,bridges,🌉,"Sylphra Bridge","An old crossing of the Sylphra River, rarely used since banditry infested the area.",385.2,368.72,45.19,-124.49
66,bridges,🌉,"Gruntnok Bridge","An old crossing of the Grunkis River, rarely used since being rumoured to attract trolls.",2393.76,136.18,73.45,119.62
67,bridges,🌉,"Stormstrike Bridge","A stone bridge spans over the Light River near Stormstrike.",2382.21,401.32,41.22,118.22
68,bridges,🌉,"Sorax Bridge","A stone bridge spans over the Glit River near Sorax.",2165.09,982.47,-29.41,91.83
69,bridges,🌉,"Bonecrush Bridge","A lengthy bridge spans over the Shadowsper River near Bonecrush.",655.9,303.83,53.07,-91.59
70,bridges,🌉,"Stonebirons Bridge","An old crossing of the Grimt River, rarely used since banditry infested the area.",1072.23,201.55,65.5,-40.99
71,bridges,🌉,"Grog Bridge","A lengthy bridge spans over the Grimgul River near Grog.",2318.56,147.55,72.07,110.48
72,bridges,🌉,"Thunder Bridge","A stone bridge spans over the Thunder Stream near Thunder.",1901.77,65.31,82.06,59.83
73,bridges,🌉,"Night Bridge","A formidable bridge spans over the Night Creek near Temspear.",2387.67,433.65,37.29,118.88
74,bridges,🌉,"Flama Bridge","A lengthy bridge spans over the Glit River near Flama.",2191.3,1050.93,-37.73,95.01
75,bridges,🌉,"Heartwhisper Bridge","A formidable bridge spans over the Heartwhisper River near Plumesonando.",2091.16,737.11,0.41,82.84
76,bridges,🌉,"Frostglite Bridge","A stone bridge spans over the Canopyfernw River near Frostglite.",1718.32,258.67,58.56,37.53
77,bridges,🌉,"Scutainflexi Bridge","An old crossing of the Scutainviata River, rarely used since being rumoured to attract trolls.",2620.59,669.94,8.58,147.19
78,bridges,🌉,"Heartshame Bridge","A lengthy bridge spans over the Heartrot River near Heartshame.",702.01,1305.12,-68.62,-85.98
79,bridges,🌉,"Scutaindest Bridge","A stone bridge spans over the Scutainsur River near Scutaindest.",2638.13,605.42,16.42,149.32
80,bridges,🌉,"Blos Bridge","A stone bridge spans over the Vioveflade River near Blos.",1547.92,1076.57,-40.85,16.82
81,bridges,🌉,"Chry Bridge","An old crossing of the Maleveiloy River, rarely used since banditry infested the area.",1683.7,1126.2,-46.88,33.32
82,bridges,🌉,"Sola Bridge","A weathered bridge spans over the Soria River near Sola.",382.56,174.6,68.78,-124.81
83,bridges,🌉,"Blodtail Bridge","An old crossing of the Ironcrushard River, rarely used since the drying up of local trade.",945.23,203.87,65.22,-56.42
84,bridges,🌉,"Thunder Bridge","An old crossing of the Thunderlash River, rarely used since the drying up of local trade.",2400.93,407.12,40.52,120.49
85,bridges,🌉,"Gadowfury Bridge","A formidable bridge spans over the Snowshaper River near Gadowfury.",1519.37,335.9,49.17,13.35
86,bridges,🌉,"Black Bridge","A stone bridge spans over the Frostfang River near Black.",620.41,162.81,70.21,-95.9
87,bridges,🌉,"Ironshenc Bridge","An old crossing of the Frost River, rarely used since its collapse during the flood.",1329.81,411.27,40.01,-9.68
88,bridges,🌉,"Grumzok Bridge","A formidable bridge spans over the Grugnak Fork near Grumzok.",2424.14,180.14,68.11,123.31
89,bridges,🌉,"Scutaim Bridge","An old crossing of the Scutainfle River, rarely used since being rumoured to attract trolls.",2456.87,424.17,38.45,127.29
90,bridges,🌉,"Nightfang Bridge","A stone bridge spans over the Ashpelt River near Nightfang.",968.62,209.06,64.59,-53.58
91,bridges,🌉,"Ironlash Bridge","A stone bridge spans over the Rust River near Ironlash.",2670.88,1028.24,-34.97,153.3
92,bridges,🌉,"Lurerea Bridge","A stone bridge spans over the Astrara River near Lurerea.",75.05,1313.2,-69.61,-162.18
93,bridges,🌉,"Glit Bridge","A stone bridge spans over the Glit River near Lumia.",2158.54,977.66,-28.82,91.03
94,bridges,🌉,"Atmosmalea Bridge","An old crossing of the Heartwhisper River, rarely used since its collapse during the flood.",2083.29,764.37,-2.9,81.89
95,bridges,🌉,"Uvaraokdi Bridge","A stone bridge spans over the Scutaimfe River near Uvaraokdi.",2697.32,607.18,16.2,156.51
96,bridges,🌉,"Grogrothak Bridge","A wooden bridge spans over the Grimgul River near Grogrothak.",2304.45,146.04,72.25,108.77
97,bridges,🌉,"Blodclawhis Bridge","A stone bridge spans over the Black River near Blodclawhis.",708.7,147.62,72.06,-85.17
98,bridges,🌉,"Ironclaw Bridge","An old crossing of the Ringrinheart River, rarely used since being rumoured to attract trolls.",2592.6,966.9,-27.52,143.79
99,bridges,🌉,"Somora Bridge","An old crossing of the Zephyrax River, rarely used since banditry infested the area.",301.45,817.37,-9.34,-134.66
100,bridges,🌉,"Iron Bridge","An old crossing of the Blackscadow River, rarely used since banditry infested the area.",795.35,189.86,66.92,-74.64
101,bridges,🌉,"Irons Guild Bridge","An old crossing of the Ironsh River, rarely used since its collapse during the flood.",598.07,465.77,33.39,-98.62
102,bridges,🌉,"Grungor Bridge","A stone bridge spans over the Grungor River near Grungor.",2571.47,187.26,67.24,141.22
103,bridges,🌉,"Scuta Bridge","An old crossing of the Scuta River, rarely used since being rumoured to attract trolls.",2624.9,824.02,-10.15,147.71
104,bridges,🌉,"Idegadow Bridge","An old crossing of the Idegadow River, rarely used since being rumoured to attract trolls.",843.8,1110.45,-44.96,-68.75
105,inns,🍻,"The Blue Panther","A big and famous roadside inn. Delicious pickled buffalo with fire spirits is served here.",1828.68,253.53,59.19,50.94
106,inns,🍻,"The Purple Crow","A big and famous roadside tavern. Delicious pickled crow with yellow liquor is served here.",1118.37,1292.56,-67.1,-35.38
107,inns,🍻,"The Bright Mantis","A big and famous roadside inn. Delicious jugged mantis with ice absinthe is served here.",2202.49,1033.91,-35.66,96.37
108,inns,🍻,"The Hungry Tavern","A big and famous roadside tavern. Delicious braised deer with white gin is served here.",920.44,189.51,66.97,-59.44
109,inns,🍻,"The Purple Heron","A big and famous roadside tavern. Delicious spit-roasted beans with dark sap is served here.",2215.12,1129.55,-47.28,97.91
110,inns,🍻,"The Great Hawk","A big and famous roadside tavern. Delicious cured peaches with light kvass is served here.",1913.02,57.97,82.95,61.19
111,inns,🍻,"The Frozen Tavern","A big and famous roadside tavern. Delicious dry-aged beef with salty nectar is served here.",2652.2,1035.46,-35.85,151.03
112,inns,🍻,"The Giant Tavern","A big and famous roadside tavern. Delicious baked rice with smoky whisky is served here.",1472.27,291.55,54.57,7.63
113,inns,🍻,"The Light Panther","A big and famous roadside inn. Delicious pan-fried lamb with purple absinthe is served here.",649.3,172.84,68.99,-92.39
114,inns,🍻,"The Superior Ox","A big and famous roadside tavern. Delicious grilled carp with orange juice is served here.",830.94,176.83,68.51,-70.31
115,inns,🍻,"The Flying Tavern","A big and famous roadside tavern. Delicious dressed cheese with golden mead is served here.",265.21,675.98,7.84,-139.07
116,inns,🍻,"The Light Beaver","A big and famous roadside tavern. Delicious braised beaver with orange tea is served here.",1087.48,1273.27,-64.75,-39.14
117,inns,🍻,"The Fat Tavern","A big and famous roadside tavern. Delicious spit-roasted corn with fire vodka is served here.",2435.88,152.3,71.49,124.74
118,inns,🍻,"The Brave Tavern","A big and famous roadside tavern. Delicious stuffed goose with yellow kumis is served here.",2619.29,1121.88,-46.35,147.03
119,inns,🍻,"The Fat Swan","A big and famous roadside tavern. Delicious baked chicken with smelly milk is served here.",472,786.15,-5.55,-113.94
120,inns,🍻,"The Loud Jackal","A big and famous roadside tavern. Delicious fried jackal with shiny water is served here.",263.52,776.79,-4.41,-139.27
121,inns,🍻,"The Friendly Tavern","A big and famous roadside tavern. Delicious jugged pumpkin with ice liquor is served here.",1791.92,293.2,54.36,46.48
122,inns,🍻,"The Red Turtle","A big and famous roadside tavern. Delicious dry-aged olives with hot tea is served here.",2043.79,1004.93,-32.14,77.09
123,inns,🍻,"The Prime Lark","A big and famous roadside tavern. Delicious spit-roasted lark with smoky juice is served here.",1602.36,997.48,-31.23,23.44
124,inns,🍻,"The Peaceful Tavern","A big and famous roadside tavern. Delicious cured duck with cold spirits is served here.",2282.03,985.48,-29.77,106.04
125,inns,🍻,"The Honest Tavern","A big and famous roadside tavern. Delicious syrupped mango with blue vodka is served here.",1452.02,286.24,55.21,5.17
126,inns,🍻,"The Golden Buffalo","A big and famous roadside tavern. Delicious dried buffalo with ice sap is served here.",2182.14,1013,-33.12,93.9
127,inns,🍻,"The Big Tavern","A big and famous roadside tavern. Delicious pan-fried seal with orange mead is served here.",1511.16,254.78,59.03,12.35
128,inns,🍻,"The Black Hyena","A big and famous roadside inn. Delicious poached hyena with orange sap is served here.",1505.12,191.47,66.73,11.62
129,inns,🍻,"The Golden Tavern","A big and famous roadside tavern. Delicious mashed antlers with salty tequila is served here.",576.39,855.75,-14.01,-101.25
130,inns,🍻,"The Golden Swan","A big and famous roadside tavern. Delicious stewed beans with white liquor is served here.",852.86,191.25,66.76,-67.65
131,inns,🍻,"The Brown Marten","A big and famous roadside tavern. Delicious marinated pudding with fire mead is served here.",353.37,828.27,-10.67,-128.35
132,inns,🍻,"The Favorable Owl","A big and famous roadside tavern. Delicious cured owl with sour absinthe is served here.",1021.74,1367.91,-76.26,-47.13
133,inns,🍻,"The Loud Leopard","A big and famous roadside tavern. Delicious fried leopard with amber brandy is served here.",532.09,1367.33,-76.18,-106.63
134,inns,🍻,"The Sunny Jaguar","A big and famous roadside inn. Delicious smoked carp with dark kumis is served here.",389.42,319.4,51.18,-123.97
135,inns,🍻,"The Sunny Tavern","A big and famous roadside tavern. Delicious grilled broccoli with blue brandy is served here.",391.91,954.2,-25.97,-123.67
136,inns,🍻,"The Prime Inn","A big and famous roadside inn. Delicious pan-fried pig ears with fire rom is served here.",2629.46,743.76,-0.4,148.26
137,inns,🍻,"The Red Snake","A big and famous roadside inn. Delicious cured pepper with golden tequila is served here.",661.62,1337.75,-72.59,-90.89
138,inns,🍻,"The Far Tavern","A big and famous roadside tavern. Delicious deep-fried cabbage with misty vodka is served here.",2098.66,953.28,-25.86,83.76
139,inns,🍻,"The Yellow Narwhal","A big and famous roadside inn. Delicious spit-roasted bacon with smoky tea is served here.",330.54,850.72,-13.4,-131.13
140,inns,🍻,"The Dark Antelope","A big and famous roadside tavern. Delicious cured antlers with fire absinthe is served here.",2651.81,444.43,35.98,150.98
141,inns,🍻,"The Red Narwhal","A big and famous roadside tavern. Delicious braised rat tails with golden rom is served here.",2695.48,503.59,28.79,156.29
